年度/Year,月份/Month,發電站名稱/Station Name,裝置容量(瓩)/Installed Capacity(kW),發電量(度)/Power Generation(kW-h),平均單位裝置容量每日發電量/Average of Each Unit Power Generatioon Per Day
2016,6,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,206572,4.09
2016,6,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,7174,3.86
2016,6,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,190836,4.22
2016,6,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,9000,4.11
2016,6,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,15689,3.27
2016,6,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,53452,3.27
2016,7,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,101279,5.02
2016,7,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,5365,4.3
2016,7,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,12177,4.28
2016,7,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,13630,3.8
2016,7,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,5228,4.02
2016,7,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,300183,4.56
2016,7,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,957133,4.76
2016,7,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,11696,4.14
2016,7,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,5502,2.96
2016,7,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,631460,4.39
2016,7,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,221991,4.4
2016,7,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,7850,4.22
2016,7,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,196822,4.35
2016,7,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,10049,4.59
2016,7,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,16758,3.5
2016,7,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,58671,3.58
2016,8,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,91065,4.51
2016,8,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,4760,3.81
2016,8,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,10600,3.72
2016,8,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,10094,2.81
2016,8,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,4333,3.34
2016,8,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,266741,4.05
2016,8,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,839858,4.18
2016,8,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,10536,3.73
2016,8,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,4727,2.54
2016,8,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,599392,4.17
2016,8,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,211809,4.2
2016,8,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,7480,4.02
2016,8,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,161103,3.56
2016,8,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,8745,4
2016,8,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,14296,2.98
2016,8,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,56181,3.43
2016,9,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,67287,3.33
2016,9,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3615,2.9
2016,9,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,8173,2.87
2016,9,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,8910,2.48
2016,9,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3703,2.85
2016,9,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,210910,3.2
2016,9,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,667044,3.32
2016,9,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,8717,3.09
2016,9,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,4072,2.19
2016,9,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,469712,3.27
2016,9,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,169250,3.35
2016,9,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,6471,3.48
2016,9,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,103077,2.28
2016,9,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,5986,2.73
2016,9,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,7522,1.57
2016,9,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,23383,1.43
2016,10,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,69658,3.45
2016,10,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3922,3.14
2016,10,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,9205,3.23
2016,10,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,9862,2.75
2016,10,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,4389,3.38
2016,10,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,242667,3.69
2016,10,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,716034,3.56
2016,10,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,10530,3.73
2016,10,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,4143,2.23
2016,10,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,543268,3.78
2016,10,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,183393,3.63
2016,10,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,6764,3.63
2016,10,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,160871,3.56
2016,10,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,6062,2.77
2016,10,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,10675,2.23
2016,10,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,43089,2.63
2016,11,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,54441,2.7
2016,11,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3065,2.46
