DateTime,Volume,Transaction,Value,Open,High,Low,Close,Change,ForeignVol,TrustVol,DealerVol,InvestorsVol
2017/12/26,13755843,3550,3118538018,229,229,225,226,2.5,11471500,125580,471000,12068080
2017/12/27,12515245,5717,2820168625,225,226,225,225,1,16865333,459000,410000,17734333
2017/12/28,24370371,7413,5521736966,226.5,228,225,226,1,34879616,850000,574000,36303616
2017/12/29,25610443,8325,5861624377,227.5,230,226.5,229.5,3.5,27595933,332000,2093000,30020933
2018/1/2,18055269,9954,4188555408,231.5,232.5,231,232.5,3,18582792,556000,615000,19753792
2018/1/3,31706091,13633,7504382512,236,238,235.5,237,4.5,31787959,1293000,1325000,34405959
2018/1/4,29179613,10953,6963192636,240,240,236.5,239.5,2.5,30013487,143000,501999,30658486
2018/1/5,23721255,8659,5681934695,240,240,238,240,0.5,28910919,249000,404000,29563919
2018/1/8,21846692,10251,5281823362,242,242.5,240.5,242,2,24783777,174000,143000,25100777
2018/1/9,19043123,7124,4588314012,242,242,239.5,242,0,26119884,430000,337000,26886884
2018/1/10,25716220,10534,6118683273,241.5,242,236,236.5,5.5,29075426,598000,1812000,31485426
2018/1/11,32070338,9199,7500674455,235,236,232.5,235,1.5,45285314,250000,821000,46356314
2018/1/12,23141291,7905,5463302207,234.5,238,233.5,237,2,30566699,79000,760000,31405699
2018/1/15,28576533,9756,6832851887,240,240,238,240,3,41999495,241000,559000,42799495
2018/1/16,23407632,8156,5609009540,240,240.5,238,240.5,0.5,33908554,127000,555000,34590554
2018/1/17,38118119,12593,9207582787,240.5,243,239,242,1.5,51099171,91000,1935000,53125171
2018/1/18,50119952,19482,12406562364,245,250,245,248.5,6.5,48195631,1308000,2352000,51855631
2018/1/19,55061292,18801,13975174348,253.5,255.5,251.5,255.5,7,66864022,927000,2378000,70169022
2018/1/22,45907509,13558,11934882643,257.5,262,257,261.5,6,63370194,1130000,1675000,66175194
2018/1/23,34606444,13993,9155080569,262.5,266,262.5,266,4.5,38906354,302000,1405970,40614324
2018/1/24,42600813,17287,11022372004,263,263,256.5,258,8,46772069,356793,2119000,49247862
2018/1/25,46214756,15826,11981089514,258,264,256.5,258,0,61556368,377000,1244000,63177368
2018/1/26,43514523,12821,11101977348,256.5,257.5,253.5,255,3,50188344,1643000,1314000,53145344
2018/1/29,31306234,12211,8067780117,259,261.5,255,258.5,3.5,30643601,562000,1320000,32525601
2018/1/30,37410591,12987,9523980994,256,257.5,252.5,253,5.5,42021407,239000,1216000,43476407
2018/1/31,45807808,13553,11670582000,253,257.5,252,255,2,66333822,100000,2891000,69324822
2018/2/1,30900457,13598,8022694430,257.5,261,257,259.5,4.5,32756353,160000,1509000,34425353
2018/2/2,25707560,11404,6633344540,259,260,255,259.5,0,29811307,183000,1212000,31206307
2018/2/5,46554379,16909,11742299859,251,254.5,250.5,253,6.5,54945887,115000,2982010,58042897
2018/2/6,104448048,35455,24944565955,242.5,243.5,234,239,14,109097432,277000,9798010,119172442
2018/2/7,82299178,22962,19903032966,245,245.5,239.5,240,1,100490356,789000,4075000,105354356
2018/2/8,31192550,10274,7468970072,239.5,242,238,238.5,1.5,40658570,368000,983000,42009570
2018/2/9,65939265,19749,15227192540,230,233,228.5,232.5,6,81110818,570000,2161000,83841818
2018/2/12,42917236,10851,10113012768,235.5,237.5,235,236.5,4,60687172,133000,1824000,62644172
2018/2/21,76396174,21512,18582475956,244.5,244.5,242,242.5,6,123623917,226000,2174000,126023917
2018/2/22,45492993,10071,10977665819,244,244,239,239.5,3,71940386,327000,1156000,73423386
2018/2/23,26985776,10178,6578657620,241,245,241,245,5.5,33159935,388000,1448000,34995935
2018/2/26,36165810,12565,8910352170,247,247.5,245,246.5,1.5,37489188,83000,639000,38211188
2018/2/27,44699119,10908,11061945363,250.5,250.5,246,246,0.5,66027908,108000,1102000,67237908
2018/3/1,43847984,11589,10669194561,244,245,242,243,3,58105775,91000,968000,59164775
2018/3/2,35289170,10440,8453712014,240,241,238.5,240,3,38486243,88000,1168000,39742243
2018/3/5,27337846,9321,6607367732,242.5,243,240.5,241.5,1.5,38764960,59000,792656,39616616
2018/3/6,36945780,13977,9155812210,245.5,250,245.5,250,8.5,43986583,472000,1846809,46305392
2018/3/7,30391219,10521,7525601638,248,248.5,246,247,3,44145056,68000,903478,45116534
2018/3/8,20645694,8817,5172732531,249.5,251.5,249,249.5,2.5,23707029,61000,1620000,25388029
2018/3/9,22887063,7050,5723277170,250,251,248.5,250.5,1,29696801,1000,553000,30250801
2018/3/12,25100615,10550,6370529728,252,255,251.5,254,3.5,28562682,20000,1228115,29810797
2018/3/13,34264883,11700,8816553606,255.5,259,255,259,5,44068290,91000,838000,44997290
2018/3/14,24254838,8518,6220805864,256.5,257.5,255.5,257,2,26320002,330000,1709000,28359002
2018/3/15,19396493,5945,4965546715,258,258,255,255,2,28703767,136000,754000,29593767
2018/3/16,62989326,18058,15930805360,253,256,249.5,255,0,90852265,451000,2750000,94053265
2018/3/19,22440766,9888,5679567964,252.5,255.5,251,255,0,26832415,145000,925000,27902415
2018/3/20,22335151,9334,5640426203,253,254,251.5,253,2,28167566,335000,412000,28914566
2018/3/21,32977737,11575,8325162114,255,255,251,252.5,0.5,45408446,80000,1114000,46602446
2018/3/22,27000718,10475,6797045014,254.5,254.5,249.5,251.5,1,34628879,111000,781000,35520879
2018/3/23,52974390,20513,12994667867,245,247,244,245,6.5,49336619,129000,1813000,51278619
2018/3/26,39487945,11404,9582954454,241.5,244.5,241.5,243.5,1.5,46033203,194148,1844000,48071351
2018/3/27,31100260,11698,7732298021,248,251,247,251,7.5,41143214,102415,1376000,42621629
2018/3/28,29924411,13041,7349468217,247.5,248,244,245,6,31600244,60000,2238000,33898244
2018/3/29,36427345,12832,8888435870,243,247,242.5,244,1,49870542,97000,1805000,51772542
2018/3/30,16996346,7578,4212690462,247.5,249.5,246,246,2,16502020,158000,1304000,17964020
2018/3/31,3603912,2409,893664176,247.5,249,246.5,247.5,1.5,202000,47000,352000,601000
2018/4/2,19029003,6951,4702581241,248.5,249,245,246.5,1,19256363,314000,409000,19979363
2018/4/3,35813944,13270,8710200224,243,244.5,242,244,2.5,42817667,156000,1964000,44937667
2018/4/9,35465824,12437,8716801768,248,248,243.5,245,1,44842284,28000,1502000,46372284
2018/4/10,25268994,11912,6231896018,244.5,249,243.5,245.5,0.5,25013947,278000,1661000,26952947
2018/4/11,21777935,8813,5391978180,246.5,248.5,246.5,248,2.5,24694281,76000,1626000,26396281
2018/4/12,20476657,6898,5028226522,248.5,248.5,244,245,3,23744554,181000,1399000,25324554
2018/4/13,19946548,5549,4885963546,246,246,244,244.5,0.5,30958973,427000,660000,32045973
2018/4/16,21608528,8436,5251556179,243,244,242,243.5,1,29026535,779000,648000,30453535
2018/4/17,42756389,18381,10232256860,243,243.5,237.5,238,5.5,41209412,922600,1875000,44007012
2018/4/18,44768048,12132,10668587090,239.5,241.5,236.5,238,0,48880142,156000,1317000,50353142
2018/4/19,33230989,10987,8081404960,242,244.5,241,244.5,6.5,47449414,378000,1112000,48939414
2018/4/20,129890087,46349,29837344632,228,231.5,228,229,15.5,147195573,2019754,3758000,152973327
2018/4/23,71901975,22048,16282275410,226.5,227.5,225,226.5,2.5,77912100,492000,1506000,79910100
2018/4/24,45206892,13970,10233860296,225,227.5,225,227,0.5,59937887,594000,1635000,62166887
2018/4/25,48975110,15136,11032111105,225.5,226,224,225,2,65437187,746000,2262000,68445187
2018/4/26,48176657,16253,10766085521,225,225.5,221,222,3,58612943,159000,2621000,61392943
2018/4/27,34443459,10859,7679131764,225,225.5,221,223.5,1.5,49906396,350000,2340000,52596396
2018/4/30,28500789,9480,6448117416,224.5,228,222.5,227,3.5,34186871,200000,2372000,36758871
2018/5/2,38436942,11445,8633492540,227,227.5,222.5,223,4,53048474,147000,1598000,54793474
2018/5/3,33507731,12287,7399813831,221,222.5,220,220.5,2.5,42796352,1250000,1721000,45767352
2018/5/4,28477722,8445,6330594053,221,224,220.5,223,2.5,41377814,459000,1278000,43114814
